month, used
2026-05-01, 569459530
2026-04-01, 582305929
2026-03-01, 569790981
2026-02-01, 452038180
2026-01-01, 506356072
2025-12-01, 562581506
2025-11-01, 542758468
2025-10-01, 517595636
2025-09-01, 552655671
2025-08-01, 516339461
2025-07-01, 542260269
2025-06-01, 515198031
2025-05-01, 542941747
2025-04-01, 544350901
2025-03-01, 538162852
2025-02-01, 465053419
2025-01-01, 460067221
2024-12-01, 533734805
2024-11-01, 535809459
2024-10-01, 540350399
2024-09-01, 493479413
2024-08-01, 504761831
2024-07-01, 528626692
2024-06-01, 509324673
2024-05-01, 544488190
2024-04-01, 531621288
2024-03-01, 530007820
2024-02-01, 453176472
2024-01-01, 491584260
2023-12-01, 513078268
2023-11-01, 519751180
2023-10-01, 519513078
2023-09-01, 497613561
2023-08-01, 493706244
2023-07-01, 502104373
2023-06-01, 511419812
2023-05-01, 523519224
